projet,concours,chercheur,rôle,établissement,Pays,Province / Territoire
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Brown, Allison",Collaborateur,University of Toronto,Canada,Ontario
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Bub, Gil",Cochercheur principal,Université McGill,Canada,Québec
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Epelman, Slava",Cochercheur principal,University Health Network,Canada,Ontario
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Garton, Michael",Cochercheur principal,University of Toronto,Canada,Ontario
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Keller, Gordon",Cochercheur principal,University Health Network,Canada,Ontario
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Kimmelman, Jonathan",Cochercheur principal,Université McGill,Canada,Québec
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Laflamme, Michael",Chercheur principal désigné,University Health Network,Canada,Ontario
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Nanthakumar, Kumaraswamy",Cocandidat,University Health Network,Canada,Ontario
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Protze, Stephanie",Cochercheur principal,University Health Network,Canada,Ontario
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Rac, Valeria",Cocandidat,University Health Network,Canada,Ontario
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Shoichet, Molly",Cocandidat,University of Toronto,Canada,Ontario
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Simmons, Craig",Collaborateur,University of Toronto,Canada,Ontario
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Tavallaei, Mohammad",Cocandidat,Toronto Metropolitan University,Canada,Ontario
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Vasconcelos, Sara",Cocandidat,University Health Network,Canada,Ontario
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Willerth, Stephanie",Cocandidat,University of Victoria,Canada,Colombie-Britannique
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Yau, Terrence",Cochercheur principal,University of Toronto,Canada,Ontario
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Broomell, Stephen",Cocandidat,Purdue University,États-Unis,Indiana
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Feinberg, Adam",Cochercheur principal,Carnegie Mellon University,États-Unis,Pennsylvanie
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Sarvazyan, Narine",Cocandidat,George Washington University,États-Unis,Washington
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Gepstein, Lior",Cocandidat,Technion- Israel Institute of Technology,Israël,
Inclusive Design for Employment Access (IDEA),2020,"MacDonald, Michael",Collaborateur,Jazz Aviation,Canada,Nouvelle-Écosse
Inclusive Design for Employment Access (IDEA),2020,"Tiano, Carmine",Collaborateur,Provincial Building & Construction Trades Council of Ontario,Canada,Ontario
Inclusive Design for Employment Access (IDEA),2020,"Farquhar, Alec",Collaborateur,Centre de recherche sur les politiques en matiere d'invalidite professionnelle,Canada,Ontario
Inclusive Design for Employment Access (IDEA),2020,"Fung, Francis",Collaborateur,March of Dimes,Canada,Ontario
Inclusive Design for Employment Access (IDEA),2020,"Moser, Cindy",Collaborateur,Institute for Work & Health,Canada,Ontario
Inclusive Design for Employment Access (IDEA),2020,"Sairanen, Sari",Collaborateur,UNIFOR,Canada,Ontario
Inclusive Design for Employment Access (IDEA),2020,"Smith, Frank",Collaborateur,National Educational Association of Disabled Students (NEADS),Canada,Ontario
Inclusive Design for Employment Access (IDEA),2020,"Tobin, Steven",Collaborateur,Labour Market Information Council,Canada,Ontario
Inclusive Design for Employment Access (IDEA),2020,"Van Eerd, Dwayne",Cocandidat,Institute for Work and Health,Canada,Ontario
Inclusive Design for Employment Access (IDEA),2020,"Volpe, Flavio",Collaborateur,Automotive Parts Manufacturers' Association,Canada,Ontario
Inclusive Design for Employment Access (IDEA),2020,"Giulione, Joseph",Collaborateur,L'Arrimage,Canada,Québec
Inclusive Design for Employment Access (IDEA),2020,"Gallant, Don",Collaborateur,"Ready, Willing and Able",Canada,Terre-Neuve-et-Labrador
Inclusive Design for Employment Access (IDEA),2020,"Irvin, Emma",Cocandidat,Institute for Work and Health,Canada,Ontario
Inclusive Design for Employment Access (IDEA),2020,"Jetha, Arif",Cocandidat,Institute for Work and Health,Canada,Ontario
Inclusive Design for Employment Access (IDEA),2020,"Bonyhady, Bruce",Cocandidat,University of Melbourne,Australie,Melbourne
Inclusive Design for Employment Access (IDEA),2020,"Smith-Merry, Jennifer",Cocandidat,The University of Sydney,Australie,
Inclusive Design for Employment Access (IDEA),2020,"Buettgen, Alexis",Collaborateur,Université York,Canada,Ontario
Inclusive Design for Employment Access (IDEA),2020,"Coppin, Peter",Cocandidat,OCAD University,Canada,Ontario
Inclusive Design for Employment Access (IDEA),2020,"Coutu, Marie-France",Cocandidat,Université de Sherbrooke,Canada,Québec
Inclusive Design for Employment Access (IDEA),2020,"Cukier, Wendy",Collaborateur,Toronto Metropolitan University,Canada,Ontario
Inclusive Design for Employment Access (IDEA),2020,"Fleisig, Robert",Cocandidat,McMaster University,Canada,Ontario
Inclusive Design for Employment Access (IDEA),2020,"Gewurtz, Rebecca",Cochercheur principal,McMaster University,Canada,Ontario
Inclusive Design for Employment Access (IDEA),2020,"Gomez, Rafael",Cocandidat,University of Toronto,Canada,Ontario
Inclusive Design for Employment Access (IDEA),2020,"Harlos, Karen",Cocandidat,University of Winnipeg,Canada,Manitoba
Inclusive Design for Employment Access (IDEA),2020,"Kristman, Vicki",Cocandidat,Lakehead University,Canada,Ontario
Inclusive Design for Employment Access (IDEA),2020,"Laberge, Marie",Cocandidat,axe Maladies musculosquelettiques et réadaptation - Centre hospitalier Universitaire Sainte-Justine,Canada,Québec
Inclusive Design for Employment Access (IDEA),2020,"Marshall, Carrie Anne",Cocandidat,Western University,Canada,Ontario
Inclusive Design for Employment Access (IDEA),2020,"Moll, Sandra",Cocandidat,McMaster University,Canada,Ontario
Inclusive Design for Employment Access (IDEA),2020,"Sayin, Firat",Cocandidat,Saint Mary's University,Canada,Nouvelle-Écosse
Inclusive Design for Employment Access (IDEA),2020,"Sultan-Taieb, Hélène",Cocandidat,Université du Québec à Montréal,Canada,Québec
Inclusive Design for Employment Access (IDEA),2020,"Tompa, Emile",Chercheur principal désigné,McMaster University,Canada,Ontario
Inclusive Design for Employment Access (IDEA),2020,"Treviranus, Jutta",Cocandidat,OCAD University,Canada,Ontario
Inclusive Design for Employment Access (IDEA),2020,"Veres, Angelika",Cocandidat,OCAD University,Canada,Ontario
Inclusive Design for Employment Access (IDEA),2020,"Vukovic, Boris",Collaborateur,Carleton University,Canada,Ontario
Inclusive Design for Employment Access (IDEA),2020,"Wyndham-West, Catherine",Cocandidat,OCAD University,Canada,Ontario
Inclusive Design for Employment Access (IDEA),2020,"Brown, David",Collaborateur,Canadian Imperial Bank of Commerce (CIBC),Canada,Colombie-Britannique
Inclusive Design for Employment Access (IDEA),2020,"Carr, Krista",Collaborateur,Association canadienne pour l'intégration communautaire,Canada,Nouveau-Brunswick
Inclusive Design for Employment Access (IDEA),2020,"Graham, Ian",Collaborateur,Institut de recherche de l'Hôpital d'Ottawa,Canada,Ontario
Inclusive Design for Employment Access (IDEA),2020,"Haan, Maureen",Collaborateur,Canadian Council on Rehabilitation and Work (CCRW),Canada,Ontario
Inclusive Design for Employment Access (IDEA),2020,"Joseph, Collinda",Collaborateur,Gouvernement du Canada,Canada,Québec
Inclusive Design for Employment Access (IDEA),2020,"Lopez-Bastos, Emmanuelle",Collaborateur,United Food and Commercial Workers Canada (UFCW - Canada),Canada,Ontario
Inclusive Design for Employment Access (IDEA),2020,"Maria, Ash",Collaborateur,Canadian National Institute for the Blind (CNIB),Canada,Ontario
Inclusive Design for Employment Access (IDEA),2020,"Nord, Leah",Collaborateur,Chambre de Commerce du Canada,Canada,Ontario
Inclusive Design for Employment Access (IDEA),2020,"Saouab, Abdou",Collaborateur,Emploi et développement social Canada,Canada,Québec
Inclusive Design for Employment Access (IDEA),2020,"Smallman, Victoria",Collaborateur,Congrès du travail du Canada,Canada,Ontario
Inclusive Design for Employment Access (IDEA),2020,"Sousa, Drew",Collaborateur,Ontario Occupational Health Nurses Association,Canada,Ontario
Inclusive Design for Employment Access (IDEA),2020,"Sukhai, Mahadeo",Cocandidat,Canadian National Institute for the Blind (CNIB),Canada,Ontario
Inclusive Design for Employment Access (IDEA),2020,"Bruyere, Susanne",Cocandidat,Cornell University,États-Unis,New-York
Inclusive Design for Employment Access (IDEA),2020,"Maisel, Jordana",Cocandidat,"Center for Inclusive Design and Environmental Access/University at Buffalo, State University of New York",États-Unis,
Inclusive Design for Employment Access (IDEA),2020,"Kondo, Takeo",Cocandidat,The University of Tokyo,Japon,
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Berger, Michael",Cocandidat,International Collaboration on Repair Discoveries,Canada,Colombie-Britannique
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Hansen, Rick",Collaborateur,Rick Hansen Foundation,Canada,Colombie-Britannique
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Noonan, Vanessa",Collaborateur,Praxis Spinal Cord Institute,Canada,Colombie-Britannique
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Tour, James",Cocandidat,Rice University,États-Unis,Texas
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"De Laporte, Laura",Cochercheur principal,DWI - Leibniz Institute for Interactive Materials,Allemagne,
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Wallace, Gordon",Cochercheur principal,University of Wollongong,Australie,Sydney
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Cheung, Karen",Cochercheur principal,The University of British Columbia,Canada,Colombie-Britannique
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Cretu, Edmond",Cocandidat,The University of British Columbia,Canada,Colombie-Britannique
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Fouad, Karim",Cochercheur principal,University of Alberta,Canada,Alberta
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Fournier, Alyson",Cochercheur principal,Université McGill,Canada,Québec
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Illes, Judy",Cochercheur principal,University of British Columbia,Canada,Colombie-Britannique
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Ko, Frank",Cocandidat,The University of British Columbia,Canada,Colombie-Britannique
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Kwon, Brian",Cochercheur principal,The University of British Columbia,Canada,Colombie-Britannique
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Laule, Cornelia",Cocandidat,The University of British Columbia,Canada,Colombie-Britannique
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"MacLachlan, Mark",Cochercheur principal,The University of British Columbia,Canada,Colombie-Britannique
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Madden, John",Chercheur principal désigné,The University of British Columbia,Canada,Colombie-Britannique
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Maine, Elicia",Cocandidat,Simon Fraser University,Canada,Colombie-Britannique
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Rohling, Robert",Cochercheur principal,The University of British Columbia,Canada,Colombie-Britannique
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Rossi, Fabio",Cocandidat,The University of British Columbia,Canada,Colombie-Britannique
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Shadgan, Babak",Cocandidat,The University of British Columbia,Canada,Colombie-Britannique
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Shahriari, Dena",Cochercheur principal,The University of British Columbia,Canada,Colombie-Britannique
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Shoichet, Molly",Cocandidat,University of Toronto,Canada,Ontario
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Sorensen, Poul",Collaborateur,The University of British Columbia,Canada,Colombie-Britannique
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Tetzlaff, Wolfram",Cochercheur principal,The University of British Columbia,Canada,Colombie-Britannique
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Willerth, Stephanie",Cocandidat,University of Victoria,Canada,Colombie-Britannique
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Wolf, Michael",Cochercheur principal,The University of British Columbia,Canada,Colombie-Britannique
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Ye, Ziliang",Cochercheur principal,The University of British Columbia,Canada,Colombie-Britannique
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Steinø, Anne",Collaborateur,The University of British Columbia,Canada,Colombie-Britannique
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"McBride, Chris",Collaborateur,Spinal Cord Injury BC,Canada,Colombie-Britannique
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Yang, Victor",Cochercheur principal,Sunnybrook Research Institute,Canada,Ontario
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Silver, Jerry",Cocandidat,Case Western Reserve University,États-Unis,Ohio
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Göritz, Christian",Cocandidat,Karolinska Institutet,Suède,
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Mayall, Robert",Collaborateur,FREDSense Technologies Corporation,Canada,Alberta
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Rasic, Daniel",Collaborateur,Semiconductor Research Corporation (SRC),États-Unis,Caroline du Nord
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"McGraw, John",Collaborateur,Izotropic Corporation,Canada,Colombie-Britannique
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"McGuiness, Christine",Collaborateur,Solvay,États-Unis,Géorgie
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Coates, Gary",Collaborateur,The Nickel Institute,Canada,Ontario
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Yan, Li",Collaborateur,NRCan,Canada,Ontario
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Clendenning, Scott",Collaborateur,Intel Corporation,États-Unis,Oregon
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Gallant, Danick",Collaborateur,National Research Council,Canada,Québec
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Morel, Alban",Collaborateur,National Research Council,Canada,Québec
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Sarikhani, Kaveh",Collaborateur,SealForLife,États-Unis,Texas
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Heldebrant, David",Cocandidat,Pacific Northwest National Laboratory,États-Unis,Washington
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Barry, Sean",Collaborateur,Carleton University,Canada,Ontario
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Berlin, Alejandro",Collaborateur,Princess Margaret Cancer Center and the University of Toronto,Canada,Ontario
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Capicciotti, Chantelle",Cochercheur principal,Queen's University,Canada,Ontario
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Coolens, Catherine",Collaborateur,University of Toronto and Princess Margaret Hospital,Canada,Ontario
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Crudden, Cathleen",Chercheur principal désigné,Queen's University,Canada,Ontario
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Dancey, Janet",Collaborateur,Queen's University,Canada,Ontario
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Holdcroft, Steven",Cocandidat,Simon Fraser University,Canada,Colombie-Britannique
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Irish, Jonathan",Collaborateur,University of Toronto and Ontario Health (Cancer Care Ontario),Canada,Ontario
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Koritzinsky, Marianne",Cocandidat,University Health Network,Canada,Ontario
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Mauzeroll, Janine",Cochercheur principal,Université McGill,Canada,Québec
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"McLean, Alastair",Cocandidat,Queen's University,Canada,Ontario
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Milosevic, Michael",Collaborateur,University of Toronto and Princess Margaret Hospital,Canada,Ontario
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Moreau, Christian",Cochercheur principal,Université Concordia,Canada,Québec
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Noël, James",Cocandidat,Western University,Canada,Ontario
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Ragogna, Paul",Cochercheur principal,Western University,Canada,Ontario
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Stamplecoskie, Kevin",Cocandidat,Queen's University,Canada,Ontario
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Wilson, Brian",Cocandidat,University of Toronto,Canada,Ontario
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Zheng, Gang",Cocandidat,University Health Network,Canada,Ontario
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Amira, Sofiene",Collaborateur,Centre québécois de recherche et de développement de l'aluminium (CQRDA),Canada,Québec
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Brandys, Frank",Collaborateur,3M Canada,Canada,Québec
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Clark, Timothy",Collaborateur,CentreVert Canada,Canada,Québec
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Lacasse, Robert",Collaborateur,Hydro-Quebec,Canada,Québec
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Levasseur, Annie",Cocandidat,École de Technologie Supérieure,Canada,Québec
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Moran, Kate",Collaborateur,Réseaux océan Canada,Canada,Colombie-Britannique
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Nielson, Kent",Collaborateur,3M Canada,Canada,Québec
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Baddeley, Christopher",Cocandidat,University of St Andrews,Écosse,St Andews
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Zheng, Jie",Cocandidat,The University of Texas at Dallas,États-Unis,Texas
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Häkkinen, Hannu",Cocandidat,University of Jyväskylä,Finlande,
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Itami, Ken",Collaborateur,"ITbM-WPI, Nagoya University",Japon,Nagoya
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Tsukuda, Tatsuya",Cocandidat,The University of Tokyo,Japon,
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Chen, Xiaoyuan",Collaborateur,National university of singapore,Singapour,
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Hedberg, Yolanda",Cocandidat,KTH Royal Institute of Technology,Suède,
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Petterson, Rachel",Collaborateur,Jernkontoret (Swedish Steel Producer's Association),Suède,
Rare Isotopes to Transform Cancer Therapy,2022,"Hoehr, Cornelia",Cocandidat,TRIUMF,Canada,Colombie-Britannique
Rare Isotopes to Transform Cancer Therapy,2022,"Radchenko, Valery",Cocandidat,TRIUMF,Canada,Colombie-Britannique
Rare Isotopes to Transform Cancer Therapy,2022,"Schaffer, Paul",Cocandidat,TRIUMF,Canada,Colombie-Britannique
Rare Isotopes to Transform Cancer Therapy,2022,"Yang, Hua",Cocandidat,TRIUMF,Canada,Colombie-Britannique
Rare Isotopes to Transform Cancer Therapy,2022,"Ooms, Maarten",Collaborateur,SCK CEN,Belgique,
Rare Isotopes to Transform Cancer Therapy,2022,"Van der Voorde, Michiel",Collaborateur,SCK CEN,Belgique,
Rare Isotopes to Transform Cancer Therapy,2022,"Beauregard, Jean-Mathieu",Cocandidat,Université Laval,Canada,Québec
Rare Isotopes to Transform Cancer Therapy,2022,"Bénard, François",Chercheur principal désigné,The University of British Columbia,Canada,Colombie-Britannique
Rare Isotopes to Transform Cancer Therapy,2022,"Guérin, Brigitte",Cocandidat,Université de Sherbrooke,Canada,Québec
Rare Isotopes to Transform Cancer Therapy,2022,"Lin, Kuo-Shyan",Cocandidat,The University of British Columbia,Canada,Colombie-Britannique
Rare Isotopes to Transform Cancer Therapy,2022,"Luyt, Leonard",Cocandidat,Western University,Canada,Ontario
Rare Isotopes to Transform Cancer Therapy,2022,"Perrin, David",Cocandidat,The University of British Columbia,Canada,Colombie-Britannique
Rare Isotopes to Transform Cancer Therapy,2022,"Price, Eric",Collaborateur,University of Saskatchewan,Canada,Saskatchewan
Rare Isotopes to Transform Cancer Therapy,2022,"Ramogida, Caterina",Cochercheur principal,Simon Fraser University,Canada,Colombie-Britannique
Rare Isotopes to Transform Cancer Therapy,2022,"Reid, Gregor",Cocandidat,The University of British Columbia,Canada,Colombie-Britannique
Rare Isotopes to Transform Cancer Therapy,2022,"Reilly, Raymond",Cocandidat,University of Toronto,Canada,Ontario
Rare Isotopes to Transform Cancer Therapy,2022,"Schirrmacher, Ralf",Cocandidat,University of Alberta,Canada,Alberta
Rare Isotopes to Transform Cancer Therapy,2022,"Wuest, Frank",Cocandidat,University of Alberta,Canada,Alberta
Rare Isotopes to Transform Cancer Therapy,2022,"Regier, Dean",Cocandidat,BC Cancer - BC Cancer Research Centre,Canada,Colombie-Britannique
Rare Isotopes to Transform Cancer Therapy,2022,"Uribe, Carlos",Cocandidat,BC Cancer,Canada,Colombie-Britannique
Rare Isotopes to Transform Cancer Therapy,2022,"Koester, Ulli",Collaborateur,Institut Laue-Langevin (ILL),France,
Rare Isotopes to Transform Cancer Therapy,2022,"Seimbille, Yann",Collaborateur,Erasmus MC,Pays-Bas,
Rare Isotopes to Transform Cancer Therapy,2022,"van der Meulen, Nicholas",Collaborateur,Paul Sherrer Institute (PSI),Suisse,
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Breen, Jimmy",Cocandidat,South Australian Health & Medical Research Institute,Australie,
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Abbey, Lord",Cocandidat,Dalhousie University,Canada,Nouvelle-Écosse
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Baehre, Rainer",Collaborateur,Memorial University,Canada,Terre-Neuve-et-Labrador
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Basset, Fabian",Collaborateur,Memorial University,Canada,Terre-Neuve-et-Labrador
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Blundell, Jacqueline",Cocandidat,Memorial University of Newfoundland,Canada,Terre-Neuve-et-Labrador
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Carter, Ken",Cocandidat,Memorial University of Newfoundland,Canada,Terre-Neuve-et-Labrador
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Cheema, Mumtaz",Cocandidat,Memorial University of Newfoundland,Canada,Terre-Neuve-et-Labrador
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Cheema, Sukhinder",Cocandidat,Memorial University of Newfoundland,Canada,Terre-Neuve-et-Labrador
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"DANA, Leo",Cocandidat,Dalhousie University,Canada,Nouvelle-Écosse
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Dave, Deepika",Collaborateur,Memorial University,Canada,Terre-Neuve-et-Labrador
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Doody, Karen",Cocandidat,Memorial University of Newfoundland,Canada,Terre-Neuve-et-Labrador
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Galagedara, Lakshman",Cocandidat,Memorial University of Newfoundland,Canada,Terre-Neuve-et-Labrador
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Hall, Heather",Cocandidat,University of Waterloo,Canada,Ontario
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Hawboldt, Kelly",Cochercheur principal,Memorial University of Newfoundland,Canada,Terre-Neuve-et-Labrador
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Luhovyy, Bohdan",Cocandidat,Mount Saint Vincent University,Canada,Nouvelle-Écosse
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"MacQuarrie, Stephanie",Cocandidat,Cape Breton University,Canada,Nouvelle-Écosse
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Newell, William",Cocandidat,Memorial University of Newfoundland,Canada,Terre-Neuve-et-Labrador
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Parrish, Christopher",Cocandidat,Memorial University of Newfoundland,Canada,Terre-Neuve-et-Labrador
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Perez, Mery",Cocandidat,Memorial University of Newfoundland,Canada,Terre-Neuve-et-Labrador
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Randell, Edward",Collaborateur,Memorial University/Eastern Health,Canada,Terre-Neuve-et-Labrador
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Reid, Brady",Collaborateur,Memorial University,Canada,Terre-Neuve-et-Labrador
