projet,concours,chercheur,établissement,type affiliation
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"McKelvey, Fenwick",Université Concordia,Académique / Recherche
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Ubalijoro, Eliane",Université Concordia,Académique / Recherche
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Moreau, Christian",Université Concordia,Académique / Recherche
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Gibbings, Derrick",Université d'Ottawa,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Wesche, Sonia",Université d'Ottawa,Académique / Recherche
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Drouin-Ouellet, Janelle",Université de Montréal,Académique / Recherche
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Bengio, Yoshua",Université de Montréal,Académique / Recherche
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Courville, Aaron",Université de Montréal,Académique / Recherche
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Dumas, Guillaume",Université de Montréal,Académique / Recherche
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Jerbi, Karim",Université de Montréal,Académique / Recherche
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Muller, Eilif",Université de Montréal,Académique / Recherche
Inclusive Design for Employment Access (IDEA),2020,"Coutu, Marie-France",Université de Sherbrooke,Académique / Recherche
Rare Isotopes to Transform Cancer Therapy,2022,"Guérin, Brigitte",Université de Sherbrooke,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Sanogo, Rokia","Université des Sciences, des Techniques et des Technologies de Bamako (USTTB)",Académique / Recherche
Inclusive Design for Employment Access (IDEA),2020,"Sultan-Taieb, Hélène",Université du Québec à Montréal,Académique / Recherche
Rare Isotopes to Transform Cancer Therapy,2022,"Beauregard, Jean-Mathieu",Université Laval,Académique / Recherche
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Richards, Blake",Université McGill,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Delormier, Treena",Université McGill,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Humphries, Murray",Université McGill,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Kirmayer, Laurence",Université McGill,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Kuhnlein, Harriet",Université McGill,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Melgar-Quinonez, Hugo",Université McGill,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Cristescu, Melania",Université McGill,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Gonzalez, Andrew",Université McGill,Académique / Recherche
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Bub, Gil",Université McGill,Académique / Recherche
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Kimmelman, Jonathan",Université McGill,Académique / Recherche
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Fournier, Alyson",Université McGill,Académique / Recherche
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Mauzeroll, Janine",Université McGill,Académique / Recherche
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Brandon, Mark",Université McGill,Académique / Recherche
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Chakravarty, Mallar",Université McGill,Académique / Recherche
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Clery, Justine",Université McGill,Académique / Recherche
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Dagher, Alain",Université McGill,Académique / Recherche
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Durcan, Thomas",Université McGill,Académique / Recherche
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Fon, Edward",Université McGill,Académique / Recherche
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Gold, E. Richard",Université McGill,Académique / Recherche
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Huot, Philippe",Université McGill,Académique / Recherche
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Williams, Sylvain",Université McGill,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Bou Dagher Kharrat, Magda",Université Saint-Joseph de Beyrouth,Académique / Recherche
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Pechawis, Archer",Université York,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Clare, Elizabeth",Université York,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Packer, Laurence",Université York,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Rehan, Sandra",Université York,Académique / Recherche
Inclusive Design for Employment Access (IDEA),2020,"Buettgen, Alexis",Université York,Académique / Recherche
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Bethell, Jennifer",University Health Network,Académique / Recherche
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Epelman, Slava",University Health Network,Académique / Recherche
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Keller, Gordon",University Health Network,Académique / Recherche
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Laflamme, Michael",University Health Network,Académique / Recherche
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Nanthakumar, Kumaraswamy",University Health Network,Académique / Recherche
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Protze, Stephanie",University Health Network,Académique / Recherche
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Rac, Valeria",University Health Network,Académique / Recherche
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Vasconcelos, Sara",University Health Network,Académique / Recherche
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Koritzinsky, Marianne",University Health Network,Académique / Recherche
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Zheng, Gang",University Health Network,Académique / Recherche
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Badiwala, Mitesh",University Health Network,Académique / Recherche
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Chan, Christopher",University Health Network,Académique / Recherche
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Crome, Sarah",University Health Network,Académique / Recherche
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Cypel, Marcelo",University Health Network,Académique / Recherche
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Gross, Jed",University Health Network,Académique / Recherche
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Haykal, Siba",University Health Network,Académique / Recherche
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Humar, Atul",University Health Network,Académique / Recherche
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Juvet, Stephen",University Health Network,Académique / Recherche
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Keshavjee, Shaf",University Health Network,Académique / Recherche
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Liu, Mingyao",University Health Network,Académique / Recherche
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"MacParland, Sonya",University Health Network,Académique / Recherche
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Martinu, Tereza",University Health Network,Académique / Recherche
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Selzner, Markus",University Health Network,Académique / Recherche
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Vasconcelos, Sara",University Health Network,Académique / Recherche
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Waddell, Thomas",University Health Network,Académique / Recherche
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Yeung, Jonathan",University Health Network,Académique / Recherche
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Zheng, Gang",University Health Network,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Layton, Kara",University of Aberdeen,Académique / Recherche
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Ogbogu, Ubaka",University of Alberta,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Glanfield, Florence",University of Alberta,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Goddard, Ellen",University of Alberta,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Harper, Sherilee",University of Alberta,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Kolopenuk, Jessica",University of Alberta,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"McKenzie, Debbie",University of Alberta,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Parkins, John",University of Alberta,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Parlee, Brenda",University of Alberta,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Poesch, Mark",University of Alberta,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Schmiegelow, Fiona",University of Alberta,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"TallBear-Dauphine, Kimberly",University of Alberta,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Willows, Noreen",University of Alberta,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Green, Stephanie",University of Alberta,Académique / Recherche
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Fouad, Karim",University of Alberta,Académique / Recherche
Rare Isotopes to Transform Cancer Therapy,2022,"Schirrmacher, Ralf",University of Alberta,Académique / Recherche
Rare Isotopes to Transform Cancer Therapy,2022,"Wuest, Frank",University of Alberta,Académique / Recherche
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Del Buono, Nicoletta",University of Bari Aldo Moro,Académique / Recherche
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Esposito, Flavia",University of Bari Aldo Moro,Académique / Recherche
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Illes, Judy",University of British Columbia,Académique / Recherche
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Withers, Stephen",University of British Columbia,Académique / Recherche
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Jacobs-LeVan, Julia",University of Calgary,Académique / Recherche
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Kurrasch, Deborah",University of Calgary,Académique / Recherche
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Yang, Guang",University of Calgary,Académique / Recherche
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Levan, Pierre",University of Calgary,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Kutz, Susan",University of Calgary,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Wrona, Fred",University of Calgary,Académique / Recherche
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Bergerson, Joule",University of Calgary,Académique / Recherche
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Birss, Viola",University of Calgary,Académique / Recherche
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Rho, Jong",University of California San Diego,Académique / Recherche
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Sinclair, John",University of Cambridge,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Simao Seixas, Cristiana",University of Campinas,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Malinen, Sanna",University of Canterbury,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Janion-Scheepers, Charlene",University of Cape Town,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Carroll, Clint",University of Colorado Boulder,Académique / Recherche
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Caroll, Clint",University of Colorado Boulder (Region 36),Académique / Recherche
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Biktashev, Vadim",University of Exeter,Académique / Recherche
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Moola, Faizal",University of Guelph,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Popp, Jesse",University of Guelph,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Roth, Robin",University of Guelph,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Moola, Faisal",University of Guelph,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Hajibabaei, Mehrdad",University of Guelph,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Hebert, Paul",University of Guelph,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"McIlwraith, Thomas",University of Guelph,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Taylor, Graham",University of Guelph,Académique / Recherche
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Kuwada, Bryan",University of Hawai?i-Manoa,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Ticktin, Tamara",University of Hawai'i at Manoa (Region 39),Académique / Recherche
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Deenik, Jonathan",University of Hawai`i,Académique / Recherche
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Enos, Kamuela",University of Hawaii,Académique / Recherche
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Leigh, Jason",University of Hawaii at Manoa,Académique / Recherche
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Crow, Susan",University of Hawaii Manoa,Académique / Recherche
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"meyer, manulani",University of Hawaii West Oahu,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Ovaskainen, Otso",University of Helsinki,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Guttorm, Hanna",University of Helsinki (Region 22),Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Porsanger, Jelena",University of Helsinki (Region 22),Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Seurujarvi, Irja",University of Helsinki (Region 22),Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Silan (GAO), Wasiq (I-An 高怡安)",University of Helsinki (Region 32),Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"van der Bank, Michelle",University of Johannesburg,Académique / Recherche
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Häkkinen, Hannu",University of Jyväskylä,Académique / Recherche
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Little Bear, Leroy",University of Lethbridge,Académique / Recherche
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Rice, Jacqueline",University of Lethbridge,Académique / Recherche
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Leween, Jackson",University of Lethbridge,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Hogue, Michelle",University of Lethbridge (Region 33),Académique / Recherche
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Tsoupras, Alexandros",University of Limerick,Académique / Recherche
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Zabetakis, Ioannis",University of Limerick,Académique / Recherche
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Ladner, Kiera",University of Manitoba,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Berkes, Fikret",University of Manitoba,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Davidson-Hunt, Iain",University of Manitoba,Académique / Recherche
Inclusive Design for Employment Access (IDEA),2020,"Bonyhady, Bruce",University of Melbourne,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Costa, Filipe",University of Minho,Académique / Recherche
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Parker Jones, Oiwi",University of Oxford,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Janzen, Daniel",University of Pennsylvania,Académique / Recherche
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Badea, Ildiko",University of Saskatchewan,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Clark, Douglas",University of Saskatchewan,Académique / Recherche
Rare Isotopes to Transform Cancer Therapy,2022,"Price, Eric",University of Saskatchewan,Académique / Recherche
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Baddeley, Christopher",University of St Andrews,Académique / Recherche
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Li, Fengwang",University of Sydney,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Fontanilla, Ian Kendrich","University of the Philippines, Diliman",Académique / Recherche
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Morshead, Cindi",University of Toronto,Académique / Recherche
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Near, James",University of Toronto,Académique / Recherche
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Azimi, Gisele",University of Toronto,Académique / Recherche
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Bazylak, Aimy",University of Toronto,Académique / Recherche
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Besco, Laurel",University of Toronto,Académique / Recherche
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Franco, April",University of Toronto,Académique / Recherche
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Galloway, Tracey",University of Toronto,Académique / Recherche
CANSTOREnergy: Seasonal storage of renewable energy,2022,"MacLean, Heather",University of Toronto,Académique / Recherche
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Neville, Kate",University of Toronto,Académique / Recherche
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Sargent, Edward",University of Toronto,Académique / Recherche
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Seferos, Dwight",University of Toronto,Académique / Recherche
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Singh, Chandra Veer",University of Toronto,Académique / Recherche
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Sinton, David",University of Toronto,Académique / Recherche
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Amon, Cristina",University of Toronto,Académique / Recherche
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Brown, Allison",University of Toronto,Académique / Recherche
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Garton, Michael",University of Toronto,Académique / Recherche
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Shoichet, Molly",University of Toronto,Académique / Recherche
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Simmons, Craig",University of Toronto,Académique / Recherche
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Yau, Terrence",University of Toronto,Académique / Recherche
Inclusive Design for Employment Access (IDEA),2020,"Gomez, Rafael",University of Toronto,Académique / Recherche
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Shoichet, Molly",University of Toronto,Académique / Recherche
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Wilson, Brian",University of Toronto,Académique / Recherche
Rare Isotopes to Transform Cancer Therapy,2022,"Reilly, Raymond",University of Toronto,Académique / Recherche
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Amon, Cristina",University of Toronto,Académique / Recherche
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Davidson, Alan",University of Toronto,Académique / Recherche
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Jaeckel, Elmar",University of Toronto,Académique / Recherche
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Karoubi, Golnaz",University of Toronto,Académique / Recherche
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Kumar, Deepali",University of Toronto,Académique / Recherche
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Reichman, Trevor",University of Toronto,Académique / Recherche
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Watts, Joel",University of Toronto,Académique / Recherche
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Irish, Jonathan",University of Toronto and Ontario Health (Cancer Care Ontario),Académique / Recherche
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Coolens, Catherine",University of Toronto and Princess Margaret Hospital,Académique / Recherche
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Milosevic, Michael",University of Toronto and Princess Margaret Hospital,Académique / Recherche
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Cordes, Ashley",University of Utah,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Lantz, Trevor",University of Victoria,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Napoleon, Val",University of Victoria,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Turner, Nancy",University of Victoria,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Baum, Julia",University of Victoria,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Castle, David",University of Victoria,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Tremblay, Crystal",University of Victoria,Académique / Recherche
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Hoicka, Christina",University of Victoria,Académique / Recherche
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Willerth, Stephanie",University of Victoria,Académique / Recherche
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Willerth, Stephanie",University of Victoria,Académique / Recherche
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Whaanga, Hēmi",University of Waikato,Académique / Recherche
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"McAiney, Carrie",University of Waterloo,Académique / Recherche
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Slavcev, Roderick",University of Waterloo,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Nayak, Prateep",University of Waterloo,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Fieguth, Paul",University of Waterloo,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Kari, Lila",University of Waterloo,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Ozsu, M. Tamer",University of Waterloo,Académique / Recherche
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Wu, Yimin",University of Waterloo,Académique / Recherche
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Hall, Heather",University of Waterloo,Académique / Recherche
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Benesiinaabandan, Scott",University of Winnipeg,Académique / Recherche
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Nagam, Julie",University of Winnipeg,Académique / Recherche
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Bullock, Ryan",University of Winnipeg,Académique / Recherche
Inclusive Design for Employment Access (IDEA),2020,"Harlos, Karen",University of Winnipeg,Académique / Recherche
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Wallace, Gordon",University of Wollongong,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Grabowski, Michał",Uniwersytet Lódzki,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Loode, Olivier",URALIC,Premières nations
